original_team_name,orginal_team_code,final_team_name,final_team_code,year,coach_name,game,draw,rank,win,lost,wa,df,streak,ba,slg,obp,ops,r,hr,rall,ra,era,rbi
넥센,NS,넥센,NS,2012,"김시진, 김성갑",133,3,6,61,69,0.469,18.5,2패,0.243,0.37,0.325,0.695,549,102,551,4.14,3.83,
LG,LG,LG,LG,2012,김기태,133,4,7,57,72,0.442,22,2승,0.261,0.354,0.332,0.686,544,59,580,4.36,4.02,
한화,HH,한화,HH,2012,한대화,133,3,8,53,77,0.408,26.5,1패,0.249,0.351,0.338,0.689,509,71,647,4.86,4.55,
삼성,SS,삼성,SS,2013,류중일,128,2,1,75,51,0.595,0,1패,0.283,0.416,0.359,0.775,669,113,545,4.26,3.98,
LG,LG,LG,LG,2013,김기태,128,0,2,74,54,0.578,2,2승,0.282,0.386,0.355,0.741,616,59,510,3.98,3.72,
넥센,NS,넥센,NS,2013,염경엽,128,2,3,72,54,0.571,3,1패,0.272,0.413,0.358,0.771,646,125,576,4.50,4.12,
두산,DS,두산,DS,2013,김진욱,128,3,4,71,54,0.568,3.5,1패,0.289,0.42,0.37,0.79,699,95,625,4.88,4.57,
롯데,LT,롯데,LT,2013,김시진,128,4,5,66,58,0.532,8,2승,0.261,0.36,0.345,0.705,556,61,553,4.32,3.93,
SK,SK,SK,SK,2013,이만수,128,3,6,62,63,0.496,12.5,2패,0.265,0.406,0.346,0.752,588,124,571,4.46,4.16,
NC,NC,NC,NC,2013,김경문,128,4,7,52,72,0.419,22,1승,0.244,0.365,0.32,0.685,512,86,551,4.30,3.96,
KIA,KA,KIA,KA,2013,선동열,128,3,8,51,74,0.408,23.5,3패,0.261,0.373,0.349,0.722,587,88,711,5.55,5.12,
한화,HH,한화,HH,2013,김응용,128,1,9,42,85,0.331,33.5,1승,0.259,0.348,0.343,0.691,480,47,711,5.55,5.31,
삼성,SS,삼성,SS,2014,류중일,128,3,1,78,47,0.624,0,1패,0.301,0.473,0.377,0.85,812,161,621,4.85,4.52,
넥센,NS,넥센,NS,2014,염경엽,128,2,2,78,48,0.619,0.5,6승,0.298,0.509,0.382,0.891,841,199,716,5.59,5.25,
NC,NC,NC,NC,2014,김경문,128,1,3,70,57,0.551,9,1패,0.282,0.447,0.353,0.8,737,143,608,4.75,4.29,
LG,LG,LG,LG,2014,"김기태, 조계현, 양상문",128,2,4,62,64,0.492,16.5,3패,0.279,0.4,0.361,0.761,668,90,643,5.02,4.58,
SK,SK,SK,SK,2014,이만수,128,2,5,61,65,0.484,17.5,1패,0.291,0.434,0.361,0.795,735,115,760,5.94,5.51,
두산,DS,두산,DS,2014,송일수,128,1,6,59,68,0.465,20,1승,0.293,0.431,0.366,0.797,687,108,733,5.73,5.43,
롯데,LT,롯데,LT,2014,김시진,128,1,7,58,69,0.457,21,1승,0.287,0.436,0.369,0.805,716,121,719,5.62,5.19,
KIA,KA,KIA,KA,2014,선동열,128,0,8,54,74,0.422,25.5,2승,0.288,0.437,0.355,0.792,662,121,788,6.16,5.82,
한화,HH,한화,HH,2014,김응용,128,2,9,49,77,0.389,29.5,5패,0.283,0.415,0.359,0.774,619,104,889,6.95,6.35,
