original_team_name,orginal_team_code,final_team_name,final_team_code,year,coach_name,game,draw,rank,win,lost,wa,df,streak,ba,slg,obp,ops,r,hr,rall,ra,era,normal_r,normal_rall,power,rbi,playoff,champion,season_rank
OB,OB,두산,DS,1987,김성근,108,1,4,55,52,0.514,2,,0.261,0.34,0.328,0.668,415,30,405,3.75,3.26,-0.245,-0.596,0.175,,1,0,4
MBC,MB,LG,LG,1987,"김동엽, 유백만",108,7,5,50,51,0.495,4,,0.258,0.342,0.32,0.662,388,36,407,3.77,3.36,-0.64,-0.551,-0.045,,0,0,5
빙그레,BG,한화,HH,1987,배성서,108,4,6,47,57,0.454,8.5,,0.274,0.368,0.342,0.71,410,48,454,4.2,3.78,-0.318,0.497,-0.407,,0,0,6
청보,CB,현대,HD,1987,강태정,108,2,7,41,65,0.389,15.5,,0.242,0.34,0.323,0.663,401,54,524,4.85,4.36,-0.45,2.057,-1.254,,0,0,7
해태,HT,KIA,KA,1988,김응용,108,2,1,68,38,0.639,0,,0.283,0.421,0.35,0.771,505,112,364,3.37,2.86,0.827,-1.761,1.294,,1,1,1
빙그레,BG,한화,HH,1988,김영덕,108,1,2,62,45,0.579,6.5,,0.266,0.387,0.333,0.72,506,73,441,4.08,3.72,0.845,-0.353,0.599,,1,2,2
롯데,LT,롯데,LT,1988,어우홍,108,2,3,57,49,0.537,11,,0.27,0.377,0.339,0.716,482,68,449,4.16,3.63,0.401,-0.206,0.304,,0,0,3
삼성,SS,삼성,SS,1988,"박영길, 정동진",108,2,4,56,50,0.528,12,,0.278,0.399,0.351,0.75,516,85,492,4.56,4.18,1.03,0.58,0.225,,1,0,4
OB,OB,두산,DS,1988,김성근,108,2,5,54,52,0.509,14,,0.258,0.349,0.321,0.67,418,44,447,4.14,3.73,-0.782,-0.243,-0.269,,0,0,5
MBC,MB,LG,LG,1988,유백만,108,4,6,40,64,0.389,27,,0.26,0.346,0.324,0.67,408,42,491,4.55,3.96,-0.967,0.562,-0.764,,0,0,6
태평양,TP,현대,HD,1988,강태정,108,1,7,34,73,0.319,34.5,,0.261,0.369,0.328,0.697,387,58,538,4.98,4.57,-1.355,1.421,-1.388,,0,0,7
해태,HT,KIA,KA,1989,김응용,120,4,1,65,51,0.558,0,,0.255,0.364,0.339,0.703,500,90,442,3.68,3.34,-0.067,-1.016,0.475,,1,1,2
빙그레,BG,한화,HH,1989,김영덕,120,3,2,71,46,0.604,-5.5,,0.276,0.411,0.346,0.757,595,97,476,3.97,3.47,1.412,-0.461,0.937,,1,2,1
태평양,TP,현대,HD,1989,김성근,120,4,3,62,54,0.533,3,,0.249,0.351,0.337,0.688,499,55,440,3.67,3.03,-0.082,-1.048,0.483,,1,0,3
삼성,SS,삼성,SS,1989,정동진,120,5,4,57,58,0.496,7.5,,0.272,0.396,0.34,0.736,580,96,588,4.9,4.42,1.178,1.365,-0.093,,1,0,4
OB,OB,두산,DS,1989,이광환,120,3,5,54,63,0.463,11.5,,0.247,0.335,0.319,0.654,447,42,481,4.01,3.7,-0.892,-0.38,-0.256,,0,0,5
MBC,MB,LG,LG,1989,"배성서, 백인천",120,4,6,49,67,0.425,16,,0.252,0.338,0.335,0.673,490,42,581,4.84,4.27,-0.222,1.251,-0.737,,0,0,6
롯데,LT,롯데,LT,1989,"어우홍, 김진영",120,5,7,48,67,0.421,16.5,,0.247,0.327,0.337,0.664,419,38,522,4.35,3.91,-1.327,0.289,-0.808,,0,0,7
LG,LG,LG,LG,1990,백인천,120,0,1,71,49,0.592,0,,0.271,0.375,0.352,0.727,578,61,457,3.81,3.38,0.694,-1.05,0.872,,1,1,1
삼성,SS,삼성,SS,1990,"정동진, 김성근",120,2,2,66,52,0.558,4,,0.263,0.411,0.341,0.752,597,131,558,4.65,4.13,0.937,0.54,0.198,,1,2,4
해태,HT,KIA,KA,1990,김응용,120,3,3,68,49,0.579,1.5,,0.27,0.392,0.352,0.744,538,87,458,3.82,3.36,0.183,-1.035,0.609,,1,0,2
빙그레,BG,한화,HH,1990,김영덕,120,2,4,68,50,0.575,2,,0.27,0.411,0.355,0.766,610,112,481,4.01,3.4,1.103,-0.673,0.888,,1,0,3
태평양,TP,현대,HD,1990,김성근,120,3,5,58,59,0.496,11.5,,0.246,0.339,0.328,0.667,486,47,511,4.26,3.68,-0.482,-0.2,-0.141,,0,0,5
롯데,LT,롯데,LT,1990,"김진영, 도위창, 강병철",120,5,6,44,71,0.388,24.5,,0.245,0.335,0.331,0.666,453,41,585,4.88,4.44,-0.904,0.965,-0.934,,0,0,6
OB,OB,두산,DS,1990,"이광환, 이재우",120,5,7,35,80,0.313,33.5,,0.231,0.329,0.309,0.638,404,62,616,5.13,4.72,-1.53,1.453,-1.492,,0,0,7
해태,HT,KIA,KA,1991,김응용,126,5,1,79,42,0.647,0,,0.259,0.418,0.35,0.768,618,144,409,3.25,2.89,0.78,-2.006,1.393,,1,1,1
빙그레,BG,한화,HH,1991,김영덕,126,5,2,72,49,0.591,7,,0.274,0.433,0.353,0.786,644,136,493,3.91,3.28,1.1,-0.849,0.975,,1,2,2
삼성,SS,삼성,SS,1991,김성근,126,1,3,70,55,0.56,11,,0.272,0.405,0.357,0.762,639,108,579,4.6,4.23,1.039,0.336,0.352,,1,0,3
롯데,LT,롯데,LT,1991,강병철,126,3,4,61,62,0.496,19,,0.26,0.378,0.339,0.717,583,73,558,4.43,4.03,0.349,0.046,0.151,,1,0,4
태평양,TP,현대,HD,1991,박영길,126,2,5,55,69,0.444,25.5,,0.238,0.337,0.313,0.65,426,51,559,4.44,4.02,-1.584,0.06,-0.822,,0,0,5
